Id,Name,ProducerId,Appellation,Country,Region,WineType,PRODUCER_SALESFORCE_ID
1673,Alter Ego,2,,France,Bordeaux,Red wine,a0F1X0000005aKoUAI
3231,Slatnik,1562,,Italy,Friuli-Venezia Giulia,White wine,a0F1X0000005alpUAA
7548,"Barbaresco ""Bric Balin""",3014,,Italy,Piemonte,Red wine,a0F1X0000005ahWUAQ
1706,"Barbera d'Alba ""Pochi Filagn""",858,,Italy,Piemonte,Red wine,a0F1X0000005af9UAA
1742,"Beaune 1er Cru ""Les Teurons""",901,,France,Burgundy,Red wine,a0F1X0000005aUjUAI
9378,"Riesling Trocken ""Cliffhanger""",3601,,Germany,Mosel,White wine,a0F1X0000005akpUAA
7545,d'Issan,1341,,France,Bordeaux,Red wine,a0F1X0000005aHSUAY
7750,"Riesling Auslese ""Erdener Prälat - Versteigerung""",3096,,Germany,Mosel,White wine,a0F1X0000005anXUAQ
1743,"Côtes-du-Rhône ""La Sagesse""",902,,France,Rhone,Red wine,a0F1X0000005aSSUAY
3232,"Riesling Trocken GG ""Berg Kaisersteinfels""",106,,Germany,Rheingau,White wine,a0F1X0000005aeHUAQ
7547,La Closerie de Fourtet,2140,,France,Bordeaux,Red wine,a0F1X0000005aGIUAY
7556,"Ribera del Duero ""Llanos del Almendro""",1972,,Spain,Castilla y León,Red wine,a0F1X0000005aVWUAY
7562,Perigeo,3016,,Italy,Emilia-Romagna,Red wine,a0F1X0000005aNSUAY
7563,"Magia ""Gutturnio Frizzante""",3016,,Italy,Emilia-Romagna,Red wine,a0F1X0000005aNSUAY
7073,Cuvée Du Mariage Selection Prince Consort,2895,,France,South West France,Red wine,a0F1X0000005aNHUAY
10199,"Gewurztraminer ""Heimbourg""",235,,France,Alsace,White wine,a0F1X0000005aVTUAY
7552,Les Rouliers,2405,,France,Rhone,Red wine,a0F1X0000005aaNUAQ
7553,Valpolicella,65,,Italy,Veneto,Red wine,a0F1X0000005aZCUAY
7550,"Barolo Riserva ""Riva Rocca""",1801,,Italy,Piemonte,Red wine,a0F1X0000005amSUAQ
7549,"Frühburgunder ""Recher Herrenberg""",2459,,Germany,Ahr,Red wine,a0F1X0000005ablUAA
2032,"Rioja ""Malpuesto""",1050,,Spain,Rioja,Red wine,a0F1X0000005a9vUAA
