Id	Name	ProducerId	Appellation	Country	Region	WineType
5477	Barolo "Gattera"	569		Italy	Piemonte	Red wine
3977	Rosso "Tigiolo"	1864		Italy	Veneto	Red wine
4969	Pinot Blanc	1790		France	Alsace	White wine
7401	Heresztyn-Mazzini	2979		France	Burgundy	White wine
8972	Pinot Noir "Spiger"	3453		Switzerland	Graubunden	Red wine
4144	Riesling Spätlese "Bockstein"	1927		Germany	Mosel	White wine
2698	Volnay "Les Mitans"	1350		France	Burgundy	Red wine
742	Pinotage "Stellenbosch"	432		South Africa	Western Cape	Red wine
585	Ribera del Duero Reserva	328		Spain	Castilla y León	Red wine
8951	Pinot Noir "de Villiers"	3445		United States	California	Red wine
8974	Pinot-Cabernet "Pi Ca Do"	3453		Switzerland	Graubunden	Red wine
10467	Spätburgunder "Ingelheim"	3969		Germany	Rheinhessen	Red wine
551	Chablis 1er Cru	313		France	Burgundy	White wine
1137	Zinfandel "Carl's - Dry Creek Valley"	641		United States	California	Red wine
4661	Lynch Moussas	1288		France	Bordeaux	Red wine
8914	Hermitage "Cuvée l'Essentiel"	3435		France	Rhone	Red wine
9216	Barbera d'Alba "Paolina"	2251		Italy	Piemonte	Red wine
10372	Brut Ice Impérial	939		France	Champagne	Sparkling wine
4013	Saint-Aubin Rouge 1er Cru "Cuvée du Paradis"	457		France	Burgundy	Red wine
5176	Chianti Rúffina Riserva "Nipozzano"	2260		Italy	Tuscany	Red wine
9822	Pernand-Vergelesses "Les Belles Filles"	481		France	Burgundy	Red wine
8128	Tu Vin Plus aux Soirées	1661		France	Vin de France	Red wine
6727	Barolo "Patres"	2759		Italy	Piemonte	Red wine
5108	Chambolle-Musigny 1er Cru "Aux Beaux Bruns"	2199		France	Burgundy	Red wine
3530	Vintage "Saint-Vincent"	688		France	Champagne	Sparkling wine
4318	Cabernet Sauvignon "Special Selection"	391		United States	California	Red wine
2757	Puligny-Montrachet 1er Cru "Sous le Puits"	1372		France	Burgundy	White wine
6370	Petalos	3614		Spain	Castilla y León	Red wine
3991	Brut "Special Cuvée"	762		France	Champagne	Sparkling wine
776	Batard-Montrachet Grand Cru	2216		France	Burgundy	White wine
5838	Rosé "Le Plaisir"	2036		France	Languedoc-Roussillon	Rose
